instance,n_stations,run_time
instance_n=100_45.alb,14,2.6227405071258545
instance_n=100_67.alb,63,2.82954740524292
instance_n=100_247.alb,23,3.492431640625
instance_n=100_292.alb,68,3.9912633895874023
instance_n=100_170.alb,26,2.9989616870880127
instance_n=100_28.alb,15,2.5195982456207275
instance_n=100_304.alb,22,3.0354416370391846
instance_n=100_19.alb,24,2.6899027824401855
instance_n=100_431.alb,62,4.481612682342529
instance_n=100_428.alb,66,4.569701910018921
instance_n=100_244.alb,22,3.618812084197998
instance_n=100_55.alb,60,3.0956640243530273
instance_n=100_96.alb,23,4.3923845291137695
instance_n=100_474.alb,24,4.932976245880127
instance_n=100_61.alb,63,3.2014832496643066
instance_n=100_267.alb,13,0.818549394607544
instance_n=100_200.alb,16,3.098940372467041
instance_n=100_449.alb,62,4.550318479537964
instance_n=100_370.alb,66,3.545794725418091
instance_n=100_30.alb,15,2.7869980335235596
instance_n=100_259.alb,16,3.865633249282837
instance_n=100_34.alb,15,2.5131266117095947
instance_n=100_508.alb,61,5.687022924423218
instance_n=100_149.alb,64,4.461111068725586
instance_n=100_31.alb,14,2.6660656929016113
instance_n=100_84.alb,30,4.187096834182739
instance_n=100_452.alb,24,4.955567836761475
instance_n=100_58.alb,64,3.0370466709136963
instance_n=100_256.alb,15,3.703352212905884
instance_n=100_164.alb,24,3.1159403324127197
instance_n=100_330.alb,15,2.8724207878112793
instance_n=100_488.alb,16,5.646078109741211
instance_n=100_349.alb,13,2.719362735748291
instance_n=100_368.alb,67,3.1832351684570312
instance_n=100_379.alb,25,4.3306660652160645
instance_n=100_493.alb,15,5.0179009437561035
instance_n=100_417.alb,15,4.298222780227661
instance_n=100_479.alb,16,5.512683629989624
instance_n=100_519.alb,72,5.497818470001221
instance_n=100_456.alb,27,6.057408571243286
instance_n=100_421.alb,14,3.7615511417388916
instance_n=100_152.alb,22,2.506283760070801
instance_n=100_258.alb,15,3.5551047325134277
instance_n=100_183.alb,14,2.607834577560425
instance_n=100_283.alb,64,4.020033597946167
instance_n=100_280.alb,62,4.4094343185424805
instance_n=100_402.alb,16,4.11913537979126
instance_n=100_407.alb,16,4.48784613609314
instance_n=100_347.alb,14,2.868525981903076
instance_n=100_325.alb,27,3.039510726928711
instance_n=100_521.alb,73,6.118321895599365
instance_n=100_37.alb,14,2.545985460281372
instance_n=100_423.alb,15,4.367303848266602
instance_n=100_415.alb,14,4.598429441452026
instance_n=100_66.alb,62,2.9140679836273193
instance_n=100_194.alb,16,2.72192120552063
instance_n=100_504.alb,64,5.634797096252441
instance_n=100_180.alb,15,2.9046735763549805
instance_n=100_352.alb,71,3.039689064025879
instance_n=100_53.alb,58,2.962381601333618
instance_n=100_39.alb,14,2.5417492389678955
instance_n=100_264.alb,15,3.135016441345215
instance_n=100_496.alb,15,5.384591579437256
instance_n=100_444.alb,62,4.564002275466919
instance_n=100_137.alb,60,4.677383661270142
instance_n=100_32.alb,14,2.464625358581543
instance_n=100_394.alb,23,4.707887649536133
instance_n=100_186.alb,15,3.088376045227051
instance_n=100_83.alb,23,3.8219735622406006
instance_n=100_298.alb,66,3.635345697402954
instance_n=100_109.alb,15,4.446135759353638
instance_n=100_217.alb,59,2.9475557804107666
instance_n=100_481.alb,16,5.316338062286377
instance_n=100_361.alb,59,3.6167783737182617
instance_n=100_248.alb,21,3.6494860649108887
instance_n=100_193.alb,15,0.5144109725952148
instance_n=100_234.alb,24,3.9200613498687744
instance_n=100_287.alb,62,4.068190574645996
instance_n=100_460.alb,24,4.7923572063446045
instance_n=100_95.alb,22,4.471592903137207
instance_n=100_461.alb,25,5.000097274780273
instance_n=100_232.alb,23,3.5563032627105713
instance_n=100_134.alb,63,4.7014851570129395
instance_n=100_206.alb,58,3.2637195587158203
instance_n=100_114.alb,14,3.852841377258301
instance_n=100_310.alb,24,3.14812970161438
instance_n=100_243.alb,24,3.8943655490875244
instance_n=100_336.alb,15,1.456876516342163
instance_n=100_294.alb,67,4.040044546127319
instance_n=100_275.alb,13,3.4823150634765625
instance_n=100_48.alb,15,2.588592529296875
instance_n=100_403.alb,15,4.470876693725586
instance_n=100_212.alb,63,3.3808882236480713
instance_n=100_85.alb,26,4.215331554412842
instance_n=100_81.alb,22,3.775423765182495
instance_n=100_136.alb,59,4.244532108306885
instance_n=100_251.alb,15,3.4757890701293945
instance_n=100_111.alb,16,4.108218193054199
instance_n=100_40.alb,15,2.785963773727417
instance_n=100_219.alb,59,3.11678147315979
instance_n=100_142.alb,62,4.309680700302124
